"","X","date","svi","returns","sp500","vix","volume","volatility","epuix","crix"
"1",1,"8/17/2014",4,NA,NA,2.464230069,113528.1429,NA,54.88,851.037885714286
"2",2,"8/24/2014",3,0.017587306,0.007786673,2.368319328,102083.4286,0.253548016,37.38,866.137742857143
"3",3,"8/31/2014",3,-0.05425163,0.001229471,2.262224302,92632.28571,0.323676417,57.29,820.400242857143
"4",4,"9/7/2014",4,-0.007416406,-0.004184379,2.225796608,95896.57143,0.282693751,52.34,814.338328571429
"5",5,"9/14/2014",4,-0.066885989,0.003784716,2.563233601,123466.8571,0.665624065,59.44,761.652128571429
"6",6,"9/21/2014",3,-0.077011738,-0.008253666,2.686855749,107922.8571,0.576943266,67.53,705.1977
"7",7,"9/28/2014",4,-0.101056851,-0.011543365,2.783299019,136914.7143,0.665467011,59.09,637.415257142857
"8",8,"10/5/2014",4,-0.064305351,-0.010982279,2.917755288,199871.4286,1.224629082,73.31,597.716157142857
"9",9,"10/12/2014",4,0.10593338,-0.03552997,3.142155212,144110.8571,0.649480181,64.65,664.509628571429
"10",10,"10/19/2014",3,-0.042020831,0.033946757,2.81641762,132462.8571,0.388912426,59.95,637.164928571429
"11",11,"10/26/2014",3,-0.080002557,0.02587067,2.689517624,122674.4286,0.446301177,61.33,588.175857142857
"12",12,"11/2/2014",3,-0.01689668,0.017439607,2.637402901,146207.5714,0.373365057,57.58,578.321128571429
"13",13,"11/9/2014",3,0.136422243,0.007754095,2.581406598,200381.4286,1.039630181,47.96,662.851871428571
"14",14,"11/16/2014",3,-0.039791845,0.006135903,2.602853693,160038.5714,0.651930706,78.04,636.993657142857
"15",15,"11/23/2014",3,0.03967992,0.008537167,2.533322594,188955,0.557633977,52.81,662.777685714286
"16",16,"11/30/2014",3,0.018257517,-0.000430208,2.600889124,214865.2857,0.279517462,61.93,674.9895
"17",17,"12/7/2014",4,-0.040320292,-0.015361644,2.889530134,178753,0.365339045,55.03,648.3151
"18",18,"12/14/2014",4,-0.027759876,-0.007569857,2.92780516,177152.7143,0.467133701,79.5,630.565457142857
"19",19,"12/21/2014",4,0.000915765,0.029927165,2.711591542,150471.1429,0.359840044,56.04,631.143171428571
"20",20,"12/28/2014",4,-0.037215991,-0.005213196,2.8493596,129462.1429,0.304750794,108.44,608.086257142857
"21",21,"1/4/2015",4,-0.10981235,-0.019887476,2.958534655,243769.2857,0.633671456,76.89,544.846657142857
"22",22,"1/11/2015",4,-0.233588541,-0.008047219,3.02338913,278798.2857,1.552084964,85.74,431.348285714286
"23",23,"1/18/2015",3,0.013333508,0.013546028,2.892607352,220924.7143,0.73707981,74.47,437.138185714286
"24",24,"1/25/2015",4,0.067585983,-0.010533097,2.903809635,213882.1429,1.263495147,61.99,467.703871428571
"25",25,"2/1/2015",4,-0.085364918,0.012328381,2.788792444,184439.1429,0.7594137,72.92,429.435014285714
"26",26,"2/8/2015",4,0.007722516,0.01349066,2.794961573,185395.5714,0.516254778,61.11,432.764171428571
"27",27,"2/15/2015",3,0.03379812,0.013444301,2.709268506,166066,0.681769114,53.8,447.640771428571
"28",28,"2/22/2015",4,0.007844946,0.004229982,2.631703828,154440,0.406505109,90.15,451.1663
"29",29,"3/1/2015",4,0.087525188,-0.00553439,2.663769852,201531.8571,0.634033251,68.34,492.434371428571
"30",30,"3/8/2015",4,0.044936542,-0.020482737,2.759232061,229361.5714,0.342185996,50.67,515.067385714286
"31",31,"3/15/2015",4,-0.054026361,0.016315338,2.673793907,165454,0.52330991,55.09,487.978514285714
"32",32,"3/22/2015",3,-0.069977349,-0.007509698,2.687876648,181069.2857,0.505856729,65.59,454.998457142857
"33",33,"3/29/2015",4,-0.026527889,-0.002234002,2.690797463,162219.8571,0.397042265,82.14,443.087
"34",34,"4/5/2015",3,-0.005307927,0.007804458,2.622513062,167355.2857,0.37670849,62.54,440.741357142857
"35",35,"4/12/2015",3,-0.092198359,0.004681274,2.588129167,178952.4286,0.349700262,91.55,401.922728571429
"36",36,"4/19/2015",3,0.0180413,0.005252828,2.554676997,168299.1429,0.30040882,50.58,409.239742857143
"37",37,"4/26/2015",3,-0.004811047,-0.001130072,2.591666186,187857,0.462514966,36.2,407.2756
